name,sex,ethnicity,ses,vowel,stress,word,F1,F2,F1_lobnorm_unscaled,F2_lobnorm_unscaled,dur,plt_manner,plt_place,plt_voice,pre_seg,fol_seg,context,word_trans,F1_20,F2_20,F1_35,F2_35,F1_50,F2_50,F1_65,F2_65,F1_80,F2_80
Marisa,female,Italian,LWC,IY,1,ABBREVIATE,491.3,2163.8,-0.853367305,0.84787501,0.07,fricative,labiodental,voiced,R,V,internal,AH0 B R IY1 V IY0 EY2 T,517.7,2029.8,506.7,2078.9,456.6,2312.2,418.5,2494.9,415.5,2571.5
Marisa,female,Italian,LWC,IY,1,ABBREVIATE,548.8,2123.9,-0.599160282,0.845676599,0.06,fricative,labiodental,voiced,R,V,internal,AH0 B R IY1 V IY0 EY2 T,556,2062.2,555.2,2070.2,534.7,2181.5,496.5,2262,493.5,2265.7
Marisa,female,Italian,LWC,IY,1,ABBREVIATE,548.8,2123.9,-0.599160282,0.845676599,0.06,fricative,labiodental,voiced,R,V,internal,AH0 B R IY1 V IY0 EY2 T,556,2062.2,555.2,2070.2,534.7,2181.5,496.5,2262,493.5,2265.7
Liliana,female,Italian,MC,IY,1,ABC,411.2,2504.2,-1.264704437,1.117454302,0.11,fricative,apical,voiceless,B,S,internal,EY1 B IY1 S IY1,444,2430,419.2,2480.9,390.2,2529.7,383.4,2555.6,364.7,2656.6
Liliana,female,Italian,MC,IY,1,ABC,513.9,2164.5,-0.574377457,0.56009038,0.09,fricative,apical,voiceless,B,S,internal,EY1 B IY1 S IY1,471.7,1986.2,506.3,2085.3,520.1,2262.7,467.9,1218.2,444.1,1175.4
Liliana,female,Italian,MC,IY,1,ABC,668.3,2372.3,0.463465637,0.901038931,0.05,,,,S,SIL,final,EY1 B IY1 S IY1,723.1,2332.4,723.1,2332.4,576.8,2288.9,529.7,2459,529.7,2459
Alonso,male,Italian,LWC,EY,1,ABLE,655.1,1944,1.431493366,0.701238931,0.12,stop,labial,voiced,SIL,B,initial,EY1 B AH0 L,498.2,1851.6,613.7,1861.5,655.1,1944,609.9,2033.5,581.6,1862.9
Rhiannon,female,Anglo,MC,EY,1,ABLE,879,2126.5,3.079564797,0.606444847,0.16,stop,labial,voiced,SIL,B,initial,EY1 B AH0 L,968.5,2168.8,878.4,2114.1,801.4,2139.9,711.9,2259.8,518.4,1638.4
Brian,male,Anglo,LWC,AW,1,ABOUT,356.9,1411.4,-0.707415546,-0.402074494,0.06,stop,apical,voiceless,B,T,internal,AH0 B AW1 T,353.3,1470.8,355.9,1438.9,360.3,871.4,376.4,872.6,383.3,904
Brian,male,Anglo,LWC,AW,1,ABOUT,281.5,2083.8,-1.141590531,1.074536059,0.06,stop,apical,voiceless,B,T,internal,AH0 B AW1 T,268,2060.7,272.4,2073.8,318.2,2074.4,336.8,1971.6,341.7,1952.9
Brian,male,Anglo,LWC,AW,1,ABOUT,443.5,1867,-0.208747725,0.598436761,0.06,stop,apical,voiceless,B,T,internal,AH0 B AW1 T,408.5,1863.4,418.7,1864.9,648.8,1871,676.6,1928.8,666.2,1925.4
